"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"	"year_start"
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	23900	"1.03"	"2020-2021"	"2nd"	"Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. <span class=\\truncated\\> Tuition is waived.</span>"	"$26,400"	"NA"	"NA"	"$2,500"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	25000	"1.07"	"2022-2023"	"5th"	"NA"	"$28,000"	"NA"	"NA"	"$3,000"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	43144	"1.69"	"2022-2023"	"2nd"	"NA"	"NA"	"$26,100"	"$17,400"	"$356"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	"104"	42286.4	12875.2	0.0315860215053764	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"University of Illinois - Urbana- Champaign"	"Aerospace Engineering"	29538	"1.34"	"2022-2023"	"1st"	"NA"	"$30,096"	"NA"	"NA"	"$558"	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	"48"	35422.4	12875.2	0.0620573870573872	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"Virginia Tech"	"Aerospace Engineering"	24000	"1.14"	"2020-2021"	"1st"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"Virginia Tech"	"Blacksburg, VA"	"Blacksburg-Christiansburg-Radford, VA"	"74"	35068.8	12875.2	0	0	"2020"
"Aerospace Engineering"	"Engineering and Computing"	"Washington University in St. Louis"	"Aerospace Engineering"	35000	"1.69"	"2020-2021"	"1st"	"NA"	"$35,000"	"NA"	"NA"	"NA"	"Washington University in St. Louis"	"St. Louis, MO"	"St. Louis, MO"	"19"	33945.6	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	29521	"1.03"	"2021-2022"	"1st"	"Funding for 8 months of academic year and an additional 2 months in the Summer. Dean&#39;s fellowship <span class=\\truncated\\> for first year.</span>"	"$29,521"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2021"
"Anthropology"	"Arts and Sciences"	"Brown University"	"Anthropology"	42400	"1.86"	"2022-2023"	"1st"	"Bumped up from 39k-ish in first official offer letter. Includes Health, Dental, and health fees."	"$42,400"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"Colorado State University"	"Anthropology"	21500	"0.96"	"2022-2023"	"1st"	"NA"	"NA"	"$23,500"	"NA"	"$2,000"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"Columbia University"	"Anthropology"	35140	"1.18"	"2020-2021"	"NA"	"NA"	"NA"	"$31,140"	"$4,000"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"Iowa State University"	"Anthropology"	18900	"0.89"	"2020-2021"	"2nd"	"NA"	"NA"	"$18,900"	"NA"	"NA"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"Northwestern University"	"Anthropology"	29780	"1.23"	"2020-2021"	"4th"	"24k after taxes"	"$30,280"	"NA"	"NA"	"$500"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0.0289855072463768	0	"2020"
"Anthropology"	"Arts and Sciences"	"Rice University"	"Anthropology"	26347	"1.21"	"2022-2023"	"1st"	"NA"	"$27,000"	"NA"	"NA"	"$653"	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"17"	34091.2	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"Southern Methodist University"	"Anthropology"	30000	"1.39"	"2021-2022"	"1st"	"I was awarded one of the big university fellowships. It covers tuition, fees, and healthcare as <span class=\\truncated\\> well and lasts for 5 years. </span>"	"$30,000"	"NA"	"NA"	"NA"	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	"64"	35422.4	12875.2	0	0	"2021"
"Anthropology"	"Arts and Sciences"	"Southern Methodist University"	"Anthropology"	23000	"1.07"	"2021-2022"	"1st"	"Stipend has recently gone up due to endowment funds from the new graduate school. Covers healthcare <span class=\\truncated\\> and fees as well. </span>"	"$23,000"	"NA"	"NA"	"NA"	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	"64"	35422.4	12875.2	0	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of California - Riverside"	"Anthropology"	21000	"0.87"	"2021-2022"	"NA"	"NA"	"NA"	"$21,000"	"NA"	"NA"	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	"91"	37648	12875.2	0.0280423280423281	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of California - Santa Barbara"	"Anthropology"	22650	"0.86"	"2020-2021"	"2nd"	"NA"	"$23,000"	"NA"	"NA"	"$350"	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	"34"	50502.4	12875.2	0.0559154295996402	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of California - Santa Barbara"	"Anthropology"	29000	"1.10"	"2022-2023"	"1st"	"29k first year, 23k taship base other years for 6 years. Full health insurance and other fees <span class=\\truncated\\> included I believe. </span>"	"NA"	"$29,000"	"NA"	"NA"	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	"34"	50502.4	12875.2	0.0559154295996402	0	"2022"
"Anthropology"	"Arts and Sciences"	"University of Chicago"	"Anthropology"	33000	"1.36"	"2022-2023"	"1st"	"Student Fees covered. Health insurance premium covered, out of pocket for vision and dental. 9 <span class=\\truncated\\> years coverage, tuition waived, 3 quarters of TA ship required</span>"	"$33,000"	"NA"	"NA"	"NA"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"University of Colorado - Boulder"	"Anthropology"	23074	"0.90"	"2022-2023"	"1st"	"+first year recruitment fellowships totaling $7,772.67"	"NA"	"NA"	"NA"	"NA"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	"104"	42286.4	12875.2	0.0315860215053764	0	"2022"
"Anthropology"	"Arts and Sciences"	"University of Florida"	"Anthropology"	31000	"1.36"	"2020-2021"	"1st"	"Doesn&#39;t include $10 per month for health insurance, tuition fees each semester (~$500)"	"$31,000"	"NA"	"NA"	"NA"	"University of Florida"	"Gainesville, FL"	"Gainesville, FL"	"34"	31740.8	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	20615	"0.85"	"2020-2021"	"1st"	"NA"	"NA"	"$20,615"	"NA"	"NA"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	26000	"1.07"	"2021-2022"	"1st"	"Tuition and partial fee waiver"	"NA"	"$26,000"	"NA"	"NA"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	19615	"0.81"	"2021-2022"	"3rd"	"NA"	"NA"	"$20,615"	"NA"	"$1,000"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of Illinois - Chicago"	"Anthropology"	19615	"0.81"	"2021-2022"	"3rd"	"NA"	"NA"	"$20,615"	"NA"	"$1,000"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Anthropology"	22000	"0.96"	"2021-2022"	"1st"	"NA"	"NA"	"$18,900"	"$4,000"	"$900"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	"70"	37856	12875.2	0.0558487058487058	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of Missouri"	"Anthropology"	18000	"0.88"	"2020-2021"	"6th and up"	"NA"	"NA"	"$18,500"	"NA"	"$500"	"University of Missouri"	"Columbia, MO"	"Columbia, MO"	"139"	32635.2	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of Nevada - Reno"	"Anthropology"	11275	"0.54"	"2021-2022"	"2nd"	"NA"	"NA"	"$13,875"	"NA"	"$2,600"	"University of Nevada--Reno"	"Reno, NV"	"Reno, NV"	"240"	33404.8	12875.2	0.0375118708452042	0	"2021"
"Anthropology"	"Arts and Sciences"	"University of Pennsylvania"	"Anthropology"	36000	"1.49"	"2020-2021"	"2nd"	"NA"	"NA"	"$30,000"	"$6,000"	"NA"	"University of Pennsylvania"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	"6"	36108.8	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of South Carolina"	"Anthropology"	11500	"0.51"	"2020-2021"	"1st"	"NA"	"NA"	"$13,500"	"NA"	"$2,000"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	"104"	35609.6	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of South Carolina"	"Anthropology"	15500	"0.69"	"2020-2021"	"3rd"	"This is the current stipend for a PhD student. MA students are paid a stipend of $13,500"	"NA"	"$15,500"	"NA"	"NA"	"University of South Carolina"	"Columbia, SC"	"Columbia, SC"	"104"	35609.6	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of South Florida"	"Anthropology"	17830	"NA"	"2022-2023"	"1st"	"NA"	"$17,830"	"NA"	"NA"	"NA"	"University of South Florida"	"Tampa, FL"	"Tampa-St. Petersburg-Clearwater, FL"	"104"	35713.6	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"University of Texas - Austin"	"Anthropology"	20000	"0.88"	"2020-2021"	"1st"	"NA"	"NA"	"$20,000"	"NA"	"NA"	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	"48"	36316.8	12875.2	0.0361552028218695	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of Wisconsin - Madison"	"Anthropology"	20100	"0.88"	"2020-2021"	"4th"	"NA"	"NA"	"$21,000"	"NA"	"$900"	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	"46"	36441.6	12875.2	0.0306186868686869	0	"2020"
"Anthropology"	"Arts and Sciences"	"University of Wisconsin - Milwaukee"	"Anthropology"	13400	"0.62"	"2021-2022"	"2nd"	"NA"	"NA"	"$15,000"	"NA"	"$1,600"	"University of Wisconsin--Milwaukee"	"Milwaukee, WI"	"Milwaukee-Waukesha-West Allis, WI"	"NA"	33779.2	12875.2	0.0288515406162466	0	"2021"
"Art History"	"Arts and Sciences"	"University of California - Los Angeles"	"Art History"	28000	"1.08"	"2021-2022"	"1st"	"NA"	"$28,000"	"NA"	"NA"	"NA"	"University of California--Los Angeles"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	"20"	44969.6	12875.2	0.04970101680628	0	"2021"
"Art History"	"Arts and Sciences"	"University of Wisconsin - Madison"	"Art History"	23000	"1.01"	"2022-2023"	"1st"	"NA"	"NA"	"$23,000"	"NA"	"NA"	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	"46"	36441.6	12875.2	0.0306186868686869	0	"2022"
"Art History"	"Arts and Sciences"	"Virginia Commonwealth University"	"Art History"	10000	"0.40"	"2020-2021"	"NA"	"NA"	"NA"	"$10,000"	"NA"	"NA"	"Virginia Commonwealth University"	"Richmond, VA"	"Richmond, VA"	"162"	38438.4	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"Columbia University"	"Biological Sciences"	41520	"1.40"	"2021-2022"	"1st"	"With the expectation of ‘productive research’ during the summer. TA for two semesters."	"$41,520"	"NA"	"NA"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2021"
"Biological Sciences"	"Arts and Sciences"	"Duquesne University"	"Biological Sciences"	26500	"1.28"	"2020-2021"	"6th and up"	"NA"	"$26,500"	"NA"	"NA"	"NA"	"Duquesne University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"132"	33321.6	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"Idaho State University"	"Biological Sciences"	15863	"0.84"	"2020-2021"	"4th"	"NA"	"NA"	"$15,863"	"NA"	"NA"	"Idaho State University"	"Pocatello, ID"	"Pocatello, ID"	"NA"	30513.6	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"Lehigh University"	"Biological Sciences"	29000	"1.30"	"2020-2021"	"1st"	"$29,000 before taxes and $200/yr wellness fee + $1,200 fee for insurance"	"$29,000"	"NA"	"NA"	"NA"	"Lehigh University"	"Bethlehem, PA"	"Allentown-Bethlehem-Easton, PA"	"50"	34756.8	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"Louisiana State University - Baton Rouge"	"Biological Sciences"	20416	"0.94"	"2022-2023"	"3rd"	"NA"	"$21,400"	"NA"	"NA"	"$984"	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	"153"	34028.8	12875.2	0.0559154295996402	0	"2022"
"Biological Sciences"	"Arts and Sciences"	"Purdue University - West Lafayette"	"Biological Sciences"	24113	"1.14"	"2021-2022"	"1st"	"NA"	"$24,500"	"NA"	"NA"	"$387"	"Purdue University--West Lafayette"	"West Lafayette, IN"	"Lafayette-West Lafayette, IN"	"57"	32364.8	12875.2	0.060958853238265	0	"2021"
"Biological Sciences"	"Arts and Sciences"	"Purdue University - West Lafayette"	"Biological Sciences"	24200	"1.14"	"2020-2021"	"2nd"	"NA"	"$24,500"	"NA"	"NA"	"$300"	"Purdue University--West Lafayette"	"West Lafayette, IN"	"Lafayette-West Lafayette, IN"	"57"	32364.8	12875.2	0.060958853238265	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"Southern Methodist University"	"Biological Sciences"	29360	"1.36"	"2021-2022"	"3rd"	"Fellowship + $3500 primary health insurance per year"	"$33,500"	"NA"	"NA"	"$4,140"	"Southern Methodist University"	"Dallas, TX"	"Dallas-Fort Worth-Arlington, TX"	"64"	35422.4	12875.2	0	0	"2021"
"Biological Sciences"	"Arts and Sciences"	"University of Alabama"	"Biological Sciences"	25000	"1.19"	"2022-2023"	"2nd"	"NA"	"$25,000"	"NA"	"NA"	"NA"	"University of Alabama"	"Tuscaloosa, AL"	"Tuscaloosa, AL"	"153"	32760	12875.2	0	0	"2022"
"Biological Sciences"	"Arts and Sciences"	"University of Chicago"	"Biological Sciences"	35700	"1.47"	"2022-2023"	"1st"	"NA"	"$35,700"	"NA"	"NA"	"NA"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2022"
"Biological Sciences"	"Arts and Sciences"	"University of Chicago"	"Biological Sciences"	35700	"1.47"	"2020-2021"	"1st"	"NA"	"$35,700"	"NA"	"NA"	"NA"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"University of Colorado - Denver"	"Biological Sciences"	34000	"1.52"	"2021-2022"	"1st"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"University of Colorado--Denver"	"Denver, CO"	"Denver-Aurora-Lakewood, CO"	"254"	40809.6	12875.2	0.0326164874551971	0	"2021"
"Biological Sciences"	"Arts and Sciences"	"University of Illinois - Chicago"	"Biological Sciences"	24553	"1.01"	"2020-2021"	"5th"	"I entered the amount per year. Fees are twice a semester."	"NA"	"$20,615"	"$6,138"	"$2,200"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"University of Illinois - Chicago"	"Biological Sciences"	21843	"0.90"	"2020-2021"	"6th and up"	"NA"	"$23,937"	"NA"	"NA"	"$2,094"	"University of Illinois--Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"132"	38313.6	12875.2	0.0315860215053764	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"University of New Orleans"	"Biological Sciences"	19700	"0.85"	"2020-2021"	"3rd"	"NA"	"NA"	"$18,000"	"$3,000"	"$1,300"	"University of New Orleans"	"New Orleans, LA"	"New Orleans-Metairie, LA"	"NA"	33945.6	12875.2	0	0	"2020"
"Biological Sciences"	"Arts and Sciences"	"University of North Carolina - Chapel Hill"	"Biological Sciences"	33000	"1.48"	"2022-2023"	"1st"	"NA"	"$33,000"	"NA"	"NA"	"NA"	"University of North Carolina--Chapel Hill"	"Chapel Hill, NC"	"Durham-Chapel Hill, NC"	"29"	35838.4	12875.2	0.0573364305071622	0	"2022"
"Biological Sciences"	"Arts and Sciences"	"University of North Carolina - Charlotte"	"Biological Sciences"	18624	"0.81"	"2021-2022"	"1st"	"NA"	"$22,000"	"NA"	"NA"	"$3,376"	"University of North Carolina--Charlotte"	"Charlotte, NC"	"Charlotte-Concord-Gastonia, NC"	"228"	36816	12875.2	0.0252136752136753	0	"2021"
"Biological Sciences"	"Arts and Sciences"	"Vanderbilt University"	"Biological Sciences"	31250	"1.36"	"2020-2021"	"3rd"	"NA"	"$32,000"	"NA"	"NA"	"$750"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Boston University"	"Biomedical Engineering"	36782	"1.28"	"2021-2022"	"1st"	"NA"	"$36,782"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2021"
"Biomedical Engineering"	"Engineering and Computing"	"Boston University"	"Biomedical Engineering"	36782	"1.28"	"2020-2021"	"1st"	"Health insurance provided"	"$36,782"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Boston University"	"Biomedical Engineering"	39780	"1.39"	"2023-2024"	"1st"	"Distinguished fellowship. Stipend is increased to $43,758 after quals"	"$39,780"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2023"
"Biomedical Engineering"	"Engineering and Computing"	"Brown University"	"Biomedical Engineering"	33435	"1.47"	"2020-2021"	"3rd"	"Summer pay is lower due to taxes"	"$33,500"	"NA"	"NA"	"$65"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Brown University"	"Biomedical Engineering"	43078	"1.89"	"2021-2022"	"1st"	"NA"	"$43,078"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2021"
"Biomedical Engineering"	"Engineering and Computing"	"Brown University"	"Biomedical Engineering"	43078	"1.89"	"2021-2022"	"1st"	"Baseline pay is $40,000. I got a fellowship topper of $4,000 for the first three years"	"$43,078"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2021"
"Biomedical Engineering"	"Engineering and Computing"	"Brown University"	"Biomedical Engineering"	42000	"1.85"	"2022-2023"	"1st"	"NA"	"$42,000"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Carnegie Mellon University"	"Biomedical Engineering"	31000	"1.50"	"2020-2021"	"2nd"	"NA"	"$32,000"	"NA"	"NA"	"$1,000"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"25"	33321.6	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Carnegie Mellon University"	"Biomedical Engineering"	33000	"1.59"	"2022-2023"	"1st"	"NA"	"$33,000"	"NA"	"NA"	"NA"	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	"25"	33321.6	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Case Western Reserve University"	"Biomedical Engineering"	31500	"1.58"	"2020-2021"	"1st"	"NA"	"$31,500"	"NA"	"NA"	"NA"	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	"40"	31824	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Case Western Reserve University"	"Biomedical Engineering"	31000	"1.55"	"2020-2021"	"1st"	"NA"	"$31,000"	"NA"	"NA"	"NA"	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	"40"	31824	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Case Western Reserve University"	"Biomedical Engineering"	31960	"1.60"	"2020-2021"	"1st"	"Three levels: 32k starting, 33k level 2 (complete courses), 34.5k level 3 (publish 1 first author <span class=\\truncated\\> paper + 1 any author paper/present at conference). Required fee = graduate activity fee</span>"	"$32,000"	"NA"	"NA"	"$40"	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	"40"	31824	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Case Western Reserve University"	"Biomedical Engineering"	34000	"1.70"	"2020-2021"	"2nd"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	"40"	31824	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Case Western Reserve University"	"Biomedical Engineering"	36000	"1.80"	"2022-2023"	"1st"	"NA"	"$36,000"	"NA"	"NA"	"NA"	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	"40"	31824	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Columbia University"	"Biomedical Engineering"	41520	"1.40"	"2020-2021"	"1st"	"NA"	"$41,520"	"NA"	"NA"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Columbia University"	"Biomedical Engineering"	41500	"1.40"	"2020-2021"	"1st"	"NA"	"$41,500"	"NA"	"NA"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Columbia University"	"Biomedical Engineering"	42000	"1.41"	"2022-2023"	"3rd"	"NA"	"$42,000"	"NA"	"NA"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Cornell University"	"Biomedical Engineering"	43500	"1.79"	"2021-2022"	"3rd"	"Increased stipend because lab is located to Weill Cornell in NYC. Tuition and insurance is covered."	"$43,500"	"NA"	"NA"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2021"
"Biomedical Engineering"	"Engineering and Computing"	"Duke University"	"Biomedical Engineering"	32400	"1.46"	"2020-2021"	"4th"	"NA"	"$32,400"	"NA"	"NA"	"NA"	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	"10"	35838.4	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Biomedical Engineering"	28700	"1.23"	"2020-2021"	"3rd"	"NA"	"$31,500"	"NA"	"NA"	"$2,800"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Biomedical Engineering"	28986	"1.24"	"2020-2021"	"2nd"	"Can opt in to student insurance plan for ~$650/year under standard GRA/GTA stipend"	"$32,000"	"NA"	"NA"	"$3,014"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Johns Hopkins University"	"Biomedical Engineering"	34000	"1.32"	"2020-2021"	"5th"	"NA"	"$34,000"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"Johns Hopkins University"	"Biomedical Engineering"	34910	"1.36"	"2021-2022"	"4th"	"NA"	"$34,910"	"NA"	"NA"	"NA"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2021"
"Biomedical Engineering"	"Engineering and Computing"	"Johns Hopkins University"	"Biomedical Engineering"	35469	"1.38"	"2022-2023"	"1st"	"Fees are taxes"	"$35,608"	"NA"	"NA"	"$139"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Johns Hopkins University"	"Biomedical Engineering"	35469	"1.38"	"2022-2023"	"1st"	"Fees are taxes"	"$35,608"	"NA"	"NA"	"$139"	"Johns Hopkins University"	"Baltimore, MD"	"Baltimore-Columbia-Towson, MD"	"10"	36483.2	12875.2	0	0	"2022"
"Biomedical Engineering"	"Engineering and Computing"	"Michigan State University"	"Biomedical Engineering"	28428	"1.39"	"2020-2021"	"3rd"	"NA"	"$28,500"	"NA"	"NA"	"$72"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2020"
"Biomedical Engineering"	"Engineering and Computing"	"North Carolina State University"	"Biomedical Engineering"	39000	"1.71"	"2020-2021"	"3rd"	"NSF GRFP (34K) plus supplement from advisor (5k)"	"$39,000"	"NA"	"NA"	"NA"	"North Carolina A&T State University"	"Greensboro, NC"	"Greensboro-High Point, NC"	"281"	33529.6	12875.2	0.0703533026113672	0	"2020"
